"","","","22","Round","2040","0.81","Ideal","J","VVS1","2518.5185185185","","","22","Round","0","0.00","Ideal","VVS1","J","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","23","Round","2440","0.86","Ideal","J","VVS1","2837.2093023256","","","23","Round","0","0.00","Ideal","VVS1","K","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","24","Round","1290","0.70","Ideal","K","VVS1","1842.8571428571","","","24","Round","0","0.00","Ideal","VVS1","K","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","25","Round","1360","0.77","Ideal","K","VVS1","1766.2337662338","","","25","Round","0","0.00","Ideal","VVS1","K","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","26","Round","1830","0.84","Ideal","K","VVS1","2178.5714285714","","","26","Round","600","0.70","Ideal","VVS2","D","857.14285714286","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","27","Round","2500","0.70","Ideal","D","VVS2","3571.4285714286","","","27","Round","610","0.72","Ideal","VVS2","D","847.22222222222","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","28","Round","3200","0.74","Ideal","D","VVS2","4324.3243243243","","","28","Round","620","0.73","Ideal","VVS2","D","849.31506849315","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","29","Round","3400","0.80","Ideal","D","VVS2","4250","","","29","Round","590","0.72","Ideal","VVS2","E","819.44444444444","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","30","Round","4030","0.82","Ideal","D","VVS2","4914.6341463415","","","30","Round","419","0.70","Ideal","VVS2","E","598.57142857143","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","31","Round","2390","0.70","Ideal","E","VVS2","3414.2857142857","","","31","Round","425","0.71","Ideal","VVS2","E","598.59154929577","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","32","Round","2420","0.73","Ideal","E","VVS2","3315.0684931507","","","32","Round","433","0.70","Ideal","VVS2","F","618.57142857143","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","33","Round","2890","0.80","Ideal","E","VVS2","3612.5","","","33","Round","464","0.75","Ideal","VVS2","F","618.66666666667","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","34","Round","3500","0.84","Ideal","E","VVS2","4166.6666666667","","","34","Round","538","0.82","Ideal","VVS2","F","656.09756097561","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","35","Round","1940","0.70","Ideal","F","VVS2","2771.4285714286","","","35","Round","369","0.75","Ideal","VVS2","G","492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","36","Round","2260","0.73","Ideal","F","VVS2","3095.8904109589","","","36","Round","393","0.70","Ideal","VVS2","G","561.42857142857","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","37","Round","2320","0.74","Ideal","F","VVS2","3135.1351351351","","","37","Round","365","0.73","Ideal","VVS2","G","500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","38","Round","2990","0.82","Ideal","F","VVS2","3646.3414634146","","","38","Round","353","0.74","Ideal","VVS2","H","477.02702702703","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","39","Round","4000","0.88","Ideal","F","VVS2","4545.4545454545","","","39","Round","357","0.77","Ideal","VVS2","H","463.63636363636","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","40","Round","1800","0.71","Ideal","G","VVS2","2535.2112676056","","","40","Round","359","0.79","Ideal","VVS2","H","454.43037974684","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","41","Round","2050","0.73","Ideal","G","VVS2","2808.2191780822","","","41","Round","0","0.00","Ideal","VVS2","I","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","42","Round","2420","0.81","Ideal","G","VVS2","2987.6543209877","","","42","Round","0","0.00","Ideal","VVS2","I","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","43","Round","2890","0.86","Ideal","G","VVS2","3360.4651162791","","","43","Round","0","0.00","Ideal","VVS2","I","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","44","Round","1610","0.71","Ideal","H","VVS2","2267.6056338028","","","44","Round","480","0.76","Ideal","VVS2","J","631.57894736842","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
